x,y
33.09383174,50.71958891
41.72067636,65.28088692
44.49285588,86.64202032
53.66093226,63.64239878
44.55560838,52.68298337
53.57507753,87.99445276
57.36205213,95.53668685
51.84518691,75.38065167
45.44053073,66.58814441
51.0887199,69.58889785
50.03957594,85.23200734
60.26921439,70.25193442
44.68719623,82.89250373
59.04974121,77.63418251
50.07314563,82.90598149
53.69163957,85.66820315
63.61556125,95.22936602
48.14985889,66.22495789
62.99748075,115.2441528
51.08863468,73.43464155
59.37082201,74.76556403
55.14218841,78.21151827
62.49469743,86.52053844
38.11982403,80.16627545
47.48120861,57.25181946
50.28283635,69.51050331
59.81320787,87.23092513
70.34607562,104.2571016
35.56783005,41.4128853
56.13038882,85.49806778
31.588117,50.39267014
43.87061265,61.4247098
33.86421497,52.72549438
40.59953838,65.56230126
50.03017434,81.53699078
52.55001444,71.30087989
50.18638949,69.84760416
53.42680403,68.77759598
32.94047994,67.17065577
49.20388754,84.74269781
41.57564262,51.39174408
52.37844622,86.09829121
33.64470601,69.89968164
48.10504169,75.3312423
49.23976534,72.11183247
56.72720806,81.43619216
35.67809389,52.72173496
54.28232871,79.12064627
48.95588857,60.72360244
52.22399609,63.35879032
50.55676015,83.43207142
44.1640495,62.00892325
38.81681754,56.87721319
65.41605175,118.5912173
44.50253806,65.10171157
57.31000344,95.45505292
39.29956669,59.17148932
46.68222865,72.24725107
36.93007661,55.23166089
61.53035803,62.5623823
60.29732685,97.37989686
39.55790122,44.86249071
56.9012147,80.20752314
52.21179669,79.64197305
57.5045333,91.486778
45.41973014,55.16567715
43.10782022,57.81251298
58.16847072,75.39287043
36.43600951,62.12457082
